number	paper_code	name_of_publication	Link	family	crop_name	n 	timing_of_stress	T_optimal	T_stress	Comments	Duration_Days	accumulated_heat_units	yield_control	sd_control		yield_heat	sd_heat	rel_yield_heat	delT	yield_difference	SE_control	SE_stress	SE_max	yield_difference_weighted	relative_yield_weighted
67		Soybean [Glycine max (L.) Merrill] seed yield response to high temperature stress during reproductive growth stages			soybean	6		25	35		14	140	2,89	0,23		1,87	0,5	64,70588235	10	1,02	0,093897107	0,204124145	0,204124145	0,815875855	64,50175821
68		Developing functional relationships between temperature and soybean yield and seed quality			soybean	8		25	33		90	720	80	5		60	5	75	8	20	1,767766953	1,767766953	1,767766953	18,23223305	73,23223305
69		Developing functional relationships between temperature and soybean yield and seed quality			soybean	8		25	33		90	720	65	2		28	3	43,07692308	8	37	0,707106781	1,060660172	1,060660172	35,93933983	42,01626291
70		Elevated temperature intensity, timing, and duration of exposure affect soybean internode elongation, mainstem node number, and pod number per plant			soybean	6		30	42		10	120	120	5		95	7	79,16666667	12	25	2,041241452	2,857738033	2,857738033	22,14226197	76,30892863
71		Effect of a short period of high day temperatures during flowering on the seed number per pod of pea (Pisum sativum L)			pea	15		20	28		4	32	22,2	1		19,3	2,1	86,93693694	8	2,9	0,25819889	0,542217668	0,542217668	2,357782332	86,39471927
72		Effect of a short period of high day temperatures during flowering on the seed number per pod of pea (Pisum sativum L)			pea	15		20	28		4	32	24,7	1		23	1	93,11740891	8	1,7	0,25819889	0,25819889	0,25819889	1,44180111	92,85921002
73		Influence of drought and heat stress, applied independently or in combination during seed development, on qualitative and  quantitative aspects of seeds of genotypes, differing in drought sensitivitylentil (Lens culinaris Medikus)			lentill	5		28	33		waiting for an answer from the auther 		3,97	0,24		3,41	0,24	85,89420655	5	0,56	0,107331263	0,107331263	0,107331263	0,452668737	85,78687529
74		Influence of drought and heat stress, applied independently or in combination during seed development, on qualitative and  quantitative aspects of seeds of genotypes, differing in drought sensitivitylentil (Lens culinaris Medikus)			lentill	5		28	33		waiting for an answer from the auther 		3,97	0,24		2,96	0,21	74,55919395	5	1,01	0,107331263	0,093914855	0,107331263	0,902668737	74,45186269
75		Soybean grown under elevated CO2 benefits more under low temperature than high temperature stress: Varying response of photosynthetic limitations, leaf metabolites, growth, and seed yield			soybean	8		28	36		60	480	28	2		17	1	60,71428571	8	11	0,707106781	0,353553391	0,707106781	10,29289322	60,00717893
76		Impact of heat stress on pod_based yield components in field pea (Pisum sativum L.)			pea	20		24	35		7	77	7,2	1		6,1	0,4	84,72222222	11	1,1	0,223606798	0,089442719	0,223606798	0,876393202	84,49861542
77		High temperature effects on photosynthesis and water relations of grain legumes			pea	6		20	30		7	70	3,18	0,46		1,47	0,18	46,22641509	10	1,71	0,187794214	0,073484692	0,187794214	1,522205786	46,03862088
78	https://www.researchgate.net/publication/242095860_Response_of_Chickpea_Yield_to_High_Temperature_Stress_during_Reproductive_Development/link/5ac252afa6fdcccda65f777b/download	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	5		20	35		10	150	35	1		23,1	0,6	66	15	11,9	0,447213595	0,268328157	0,447213595	11,4527864	65,5527864
79	https://www.researchgate.net/publication/242095860_Response_of_Chickpea_Yield_to_High_Temperature_Stress_during_Reproductive_Development/link/5ac252afa6fdcccda65f777b/download	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	5		20	35		10	150	20,4	2,2		16,2	1	79,41176471	15	4,2	0,98386991	0,447213595	0,98386991	3,21613009	78,4278948
80	https://www.researchgate.net/publication/242095860_Response_of_Chickpea_Yield_to_High_Temperature_Stress_during_Reproductive_Development/link/5ac252afa6fdcccda65f777b/download	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	5		20	35		10	150	20,1	1,2		15,8	1,2	78,60696517	15	4,3	0,536656315	0,536656315	0,536656315	3,763343685	78,07030886
81	https://www.researchgate.net/publication/242095860_Response_of_Chickpea_Yield_to_High_Temperature_Stress_during_Reproductive_Development/link/5ac252afa6fdcccda65f777b/download	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	5		20	35		10	150	19,5	1,2		15,2	2,1	77,94871795	15	4,3	0,536656315	0,939148551	0,939148551	3,360851449	77,0095694
82	https://www.researchgate.net/publication/242095860_Response_of_Chickpea_Yield_to_High_Temperature_Stress_during_Reproductive_Development/link/5ac252afa6fdcccda65f777b/download	Response of Chickpea Yield to High Temperature Stress during Reproductive Development			chickpea	5		20	35		10	150	19,6	2,3		14,8	1,3	75,51020408	15	4,8	1,02859127	0,581377674	1,02859127	3,77140873	74,48161281
	https://acsess.onlinelibrary.wiley.com/doi/pdf/10.2135/cropsci1996.0011183X003600060034x	Soybean Seed Quality Reductions by High Day and Night Temperature			soybean	6		30	35		18	90	79	5		57	3	72,15189873	5	22	2,041241452	1,224744871	2,041241452	19,95875855	70,11065728
																									
																									
		Reproductive-stage heat tolerance, leafmembrane thermostability and plant morphology in cowpea																							
																									
																									
